annee;trimestre;dernier_jour_du_mois;duree_de_contrat;nature_de_contrat;dpae_brut;dpae_cvs
2005;2;2005-04-30;Contrat de plus d'un mois;CDI;255914;253787
2005;2;2005-05-31;Contrat de plus d'un mois;CDI;230370;254279
2005;2;2005-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;400175;308897
2005;3;2005-08-31;Contrat de plus d'un mois;CDI;185381;262238
2005;3;2005-09-30;Contrat de plus d'un mois;CDI;359924;254806
2005;4;2005-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;313675;301987
2005;4;2005-10-31;Contrat de plus d'un mois;CDI;327194;262149
2005;4;2005-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;261068;309960
2005;4;2005-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;212747;313162
2006;1;2006-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;265014;289609
2006;1;2006-02-28;Contrat de plus d'un mois;CDI;248723;272843
2006;1;2006-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;222275;276087
2006;1;2006-03-31;Contrat de plus d'un mois;CDI;270125;272780
2006;2;2006-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;258825;303188
2006;2;2006-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;264945;307602
2006;2;2006-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;385264;311694
2006;3;2006-09-30;Contrat de plus d'un mois;CDI;377693;267579
2006;4;2006-10-31;Contrat de plus d'un mois;CDI;340158;266575
2006;4;2006-11-30;Contrat de plus d'un mois;CDI;270125;271906
2007;1;2007-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;248878;316058
2007;2;2007-04-30;Contrat de plus d'un mois;CDI;283140;284143
2007;2;2007-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;265696;324824
2007;2;2007-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;395394;318903
2007;2;2007-06-30;Contrat de plus d'un mois;CDI;270755;295746
2007;3;2007-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;626955;320425
2007;3;2007-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;218886;331026
2007;4;2007-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;362632;331091
2007;4;2007-10-31;Contrat de plus d'un mois;CDI;377698;293584
2007;4;2007-11-30;Contrat de plus d'un mois;CDI;281759;285866
2007;4;2007-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;225192;328064
2008;1;2008-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;214093;335708
2008;1;2008-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;263358;334544
2008;2;2008-04-30;Contrat de plus d'un mois;CDI;280468;273124
2008;3;2008-07-31;Contrat de plus d'un mois;CDI;265353;296386
2008;3;2008-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;549054;327252
2008;3;2008-09-30;Contrat de plus d'un mois;CDI;438398;291972
2008;4;2008-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;326839;312917
2008;4;2008-10-31;Contrat de plus d'un mois;CDI;341609;277106
2008;4;2008-11-30;Contrat de plus d'un mois;CDI;248046;259789
2008;4;2008-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;217855;297268
2008;4;2008-12-31;Contrat de plus d'un mois;CDI;194686;241816
2009;1;2009-01-31;Contrat de plus d'un mois;CDI;297890;241104
2009;1;2009-02-28;Contrat de plus d'un mois;CDI;204865;231027
2009;2;2009-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;250252;297837
2009;2;2009-05-31;Contrat de plus d'un mois;CDI;189082;216542
2009;2;2009-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;393497;317033
2009;2;2009-06-30;Contrat de plus d'un mois;CDI;208324;223419
2009;4;2009-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;230186;326308
2009;4;2009-12-31;Contrat de plus d'un mois;CDI;185614;237223
2010;1;2010-01-31;Contrat de plus d'un mois;CDI;294835;239746
2010;2;2010-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;289290;321972
2010;2;2010-04-30;Contrat de plus d'un mois;CDI;247350;253063
2010;2;2010-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;284507;327637
2010;2;2010-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;420850;342526
2010;3;2010-07-31;Contrat de plus d'un mois;CDI;224030;249715
2010;3;2010-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;236777;331890
2010;3;2010-08-31;Contrat de plus d'un mois;CDI;196424;257469
2010;3;2010-09-30;Contrat de plus d'un mois;CDI;375368;252590
2010;4;2010-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;285984;333934
2011;1;2011-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;218063;355759
2011;1;2011-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;272817;334077
2011;2;2011-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;316239;351649
2011;2;2011-04-30;Contrat de plus d'un mois;CDI;275516;284299
2011;2;2011-05-31;Contrat de plus d'un mois;CDI;269391;290693
2011;2;2011-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;388277;340265
2011;2;2011-06-30;Contrat de plus d'un mois;CDI;254727;284776
2011;3;2011-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;580786;344419
2011;4;2011-11-30;Contrat de plus d'un mois;CDI;275471;282447
2011;4;2011-12-31;Contrat de plus d'un mois;CDI;214581;284463
2012;1;2012-01-31;Contrat de plus d'un mois;CDI;353402;271772
2012;1;2012-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;266684;339919
2012;2;2012-04-30;Contrat de plus d'un mois;CDI;265085;266658
2012;2;2012-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;367095;323592
2012;3;2012-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;224111;325437
2012;3;2012-08-31;Contrat de plus d'un mois;CDI;192243;258284
2012;4;2012-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;257429;305321
2012;4;2012-12-31;Contrat de plus d'un mois;CDI;189719;255327
2013;1;2013-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;298907;322945
2013;1;2013-01-31;Contrat de plus d'un mois;CDI;316760;250362
2013;1;2013-02-28;Contrat de plus d'un mois;CDI;218638;251629
2013;2;2013-05-31;Contrat de plus d'un mois;CDI;209852;247539
2013;3;2013-09-30;Contrat de plus d'un mois;CDI;387787;252943
2013;4;2013-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;327725;323423
2013;4;2013-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;229115;323834
2013;4;2013-12-31;Contrat de plus d'un mois;CDI;190116;249290
2014;2;2014-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;303834;324636
2014;2;2014-05-31;Contrat de plus d'un mois;CDI;207618;239279
2014;3;2014-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;209356;299552
2014;3;2014-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;619114;337543
2014;3;2014-09-30;Contrat de plus d'un mois;CDI;393461;250443
2014;4;2014-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;233364;325491
2014;4;2014-12-31;Contrat de plus d'un mois;CDI;188782;244860
2015;1;2015-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;309261;330810
2015;1;2015-01-31;Contrat de plus d'un mois;CDI;313683;250464
2015;1;2015-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;198141;321300
2015;1;2015-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;271395;325355
2015;2;2015-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;273677;328557
2015;2;2015-05-31;Contrat de plus d'un mois;CDI;205219;243882
2015;2;2015-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;395938;334157
2015;2;2015-06-30;Contrat de plus d'un mois;CDI;243039;254616
2015;3;2015-08-31;Contrat de plus d'un mois;CDI;201740;263798
2015;3;2015-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;589496;324947
2015;4;2015-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;318948;336432
2015;4;2015-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;301664;346369
2015;4;2015-12-31;Contrat de plus d'un mois;CDI;196409;260773
2016;1;2016-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;328772;351838
2016;1;2016-01-31;Contrat de plus d'un mois;CDI;336487;270163
2016;1;2016-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;283798;356117
2016;2;2016-04-30;Contrat de plus d'un mois;CDI;265478;268081
2016;2;2016-05-31;Contrat de plus d'un mois;CDI;247580;277537
2016;2;2016-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;388228;342985
2016;3;2016-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;624990;352307
2017;1;2017-01-31;Contrat de plus d'un mois;CDI;370673;282920
2017;1;2017-03-31;Contrat de plus d'un mois;CDI;286468;296447
2017;2;2017-05-31;Contrat de plus d'un mois;CDI;270847;308748
2017;3;2017-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;259929;357376
2017;3;2017-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;635609;356329
2017;3;2017-09-30;Contrat de plus d'un mois;CDI;487068;322748
2017;4;2017-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;241929;379837
2017;4;2017-12-31;Contrat de plus d'un mois;CDI;245378;348770
2018;2;2018-04-30;Contrat de plus d'un mois;CDI;328721;337190
